Q#,Question Text,Correct Answer,Unit Index,Grammar Topic,Explanation for Beginners,Explanation (VI),Explanation (ES),Explanation (ZH),Distractor 1,Distractor 2,Distractor 3
80,She __________ to New York next week on business.,A (is flying),Unit 5,Future 1,We use Present Continuous for fixed arrangements in the future.,Chúng ta dùng thì Hiện tại tiếp diễn cho các sự sắp xếp cố định trong tương lai.,Usamos el Presente Continuo para arreglos fijos en el futuro.,我们使用现在进行时来表示将来确定的安排。,flies,flew,flown
81,I __________ a new laptop next month.,A (am going to buy),Unit 5,Future 1,"We use ""going to"" for future plans.","Chúng ta dùng ""going to"" cho các kế hoạch trong tương lai.","Usamos ""going to"" para planes futuros.","我们使用 ""going to"" 来表示未来的计划。",will buy,buy,buying
82,They __________ their grandparents this weekend.,A (are going to visit),Unit 5,Future 1,"We use ""going to"" for future plans.","Chúng ta dùng ""going to"" cho các kế hoạch trong tương lai.","Usamos ""going to"" para planes futuros.","我们使用 ""going to"" 来表示未来的计划。",will visit,visit,visiting
83,She __________ medicine when she graduates.,A (is going to study),Unit 5,Future 1,"We use ""going to"" for future plans.","Chúng ta dùng ""going to"" cho các kế hoạch trong tương lai.","Usamos ""going to"" para planes futuros.","我们使用 ""going to"" 来表示未来的计划。",will study,studies,studied
84,"At this time tomorrow, I __________ to Paris.",B (will be flying),Unit 6,Future 2,We use Future Continuous for actions that will be in progress at a time in the future.,Chúng ta dùng thì Tương lai tiếp diễn cho các hành động sẽ đang diễn ra tại một thời điểm trong tương lai.,Usamos el Futuro Continuo para acciones que estarán en progreso en un momento en el futuro.,我们使用将来进行时来表示将来某时刻正在进行的动作。,will fly,fly,flying
85,"Don't call me at 8pm, I __________ my favorite show.",B (will be watching),Unit 6,Future 2,We use Future Continuous for actions that will be in progress at a time in the future.,Chúng ta dùng thì Tương lai tiếp diễn cho các hành động sẽ đang diễn ra tại một thời điểm trong tương lai.,Usamos el Futuro Continuo para acciones que estarán en progreso en un momento en el futuro.,我们使用将来进行时来表示将来某时刻正在进行的动作。,will watch,watch,am watching
86,Next week they __________ on their new project.,B (will be working),Unit 6,Future 2,We use Future Continuous for actions that will be in progress at a time in the future.,Chúng ta dùng thì Tương lai tiếp diễn cho các hành động sẽ đang diễn ra tại một thời điểm trong tương lai.,Usamos el Futuro Continuo para acciones que estarán en progreso en un momento en el futuro.,我们使用将来进行时来表示将来某时刻正在进行的动作。,will work,work,have worked
87,"By next year, we __________ construction of the bridge.",B (will have finished),Unit 6,Future 2,We use Future Perfect for actions that will be finished before a time in the future.,Chúng ta dùng thì Tương lai hoàn thành cho các hành động sẽ hoàn tất trước một thời điểm trong tương lai.,Usamos el Futuro Perfecto para acciones que habrán terminado antes de un momento en el futuro.,我们使用将来完成时来表示将来某时刻之前将完成的动作。,will finish,finish,are finishing
88,I __________ this book by the time you arrive.,B (will have read),Unit 6,Future 2,We use Future Perfect for actions that will be finished before a time in the future.,Chúng ta dùng thì Tương lai hoàn thành cho các hành động sẽ hoàn tất trước một thời điểm trong tương lai.,Usamos el Futuro Perfecto para acciones que habrán terminado antes de un momento en el futuro.,我们使用将来完成时来表示将来某时刻之前将完成的动作。,will read,read,am reading
89,"By 2030, the population __________ by 20%.",B (will have grown),Unit 6,Future 2,We use Future Perfect for actions that will be finished before a time in the future.,Chúng ta dùng thì Tương lai hoàn thành cho các hành động sẽ hoàn tất trước một thời điểm trong tương lai.,Usamos el Futuro Perfecto para acciones que habrán terminado antes de un momento en el futuro.,我们使用将来完成时来表示将来某时刻之前将完成的动作。,will grow,grows,has grown
90,You can choose __________ seat you like.,C (any),Unit 7,Countable and uncountable nouns,"We use ""any"" when the specific one does not matter.","Chúng ta dùng ""any"" khi cái cụ thể nào không quan trọng.","Usamos ""any"" cuando el específico no importa.","当具体的那一个并不重要时，我们使用 ""any""。",some,many,no
91,"Pass me __________ pen, I just need to write this down.",A (any),Unit 7,Countable and uncountable nouns,"We use ""any"" when the specific item does not matter.","Chúng ta dùng ""any"" khi vật cụ thể nào không quan trọng.","Usamos ""any"" cuando el objeto específico no importa.","当具体的物品并不重要时，我们使用 ""any""。",some,many,no
92,She can solve __________ problem you give her.,B (any),Unit 7,Countable and uncountable nouns,"We use ""any"" to mean ""it does not matter which one"".","Chúng ta dùng ""any"" để có nghĩa là ""bất cứ cái nào"".","Usamos ""any"" para significar ""no importa cuál"".","我们使用 ""any"" 来表示“无论哪一个”。",some,many,no
93,There aren't __________ tickets available for the concert.,B (many),Unit 7,Countable and uncountable nouns,"We use ""many"" for things we can count in negative sentences.","Chúng ta dùng ""many"" cho những thứ đếm được trong câu phủ định.","Usamos ""many"" para cosas que podemos contar en oraciones negativas.","我们在否定句中将 ""many"" 用于可数名词。",much,some,little
94,We don't have __________ chairs for everyone.,B (many),Unit 7,Countable and uncountable nouns,"We use ""many"" for things we can count in negative sentences.","Chúng ta dùng ""many"" cho những thứ đếm được trong câu phủ định.","Usamos ""many"" para cosas que podemos contar en oraciones negativas.","我们在否定句中将 ""many"" 用于可数名词。",much,some,little
95,She doesn't have __________ friends in this city.,B (many),Unit 7,Countable and uncountable nouns,"We use ""many"" for things we can count in negative sentences.","Chúng ta dùng ""many"" cho những thứ đếm được trong câu phủ định.","Usamos ""many"" para cosas que podemos contar en oraciones negativas.","我们在否定句中将 ""many"" 用于可数名词。",much,some,little
96,He is __________.,A (a very good teacher),Unit 8,Referring to nouns,"We use ""a"" before a singular noun.","Chúng ta dùng ""a"" trước danh từ số ít.","Usamos ""a"" antes de un sustantivo singular.","我们在单数名词前使用 ""a""。",good teacher,the good teacher,very good teacher
97,It was __________.,B (an exciting game),Unit 8,Referring to nouns,"We use ""an"" before a vowel sound.","Chúng ta dùng ""an"" trước một nguyên âm.","Usamos ""an"" antes de un sonido vocal.","我们在元音发音前使用 ""an""。",a exciting game,exciting game,the exciting game
98,She has __________.,B (a beautiful voice),Unit 8,Referring to nouns,"We use ""a"" before a singular noun.","Chúng ta dùng ""a"" trước danh từ số ít.","Usamos ""a"" antes de un sustantivo singular.","我们在单数名词前使用 ""a""。",beautiful voice,an beautiful voice,the beautiful voice
99,He gave me __________ advice.,B (excellent),Unit 8,Referring to nouns,"""Advice"" is uncountable, so we cannot use ""a"" or ""an"".","""Advice"" là không đếm được, nên không dùng ""a"" hoặc ""an"".","""Advice"" es incontable, así que no podemos usar ""a"" o ""an"".","""Advice"" 是不可数名词，所以我不能使用 ""a"" 或 ""an""。",an advice,a advice,many advices
100,She provided __________.,B (helpful feedback),Unit 8,Referring to nouns,"""Feedback"" is uncountable, so we cannot use ""a"" or ""an"".","""Feedback"" là không đếm được, nên không dùng ""a"" hoặc ""an"".","""Feedback"" es incontable, así que no podemos usar ""a"" o ""an"".","""Feedback"" 是不可数名词，所以我不能使用 ""a"" 或 ""an""。",a helpful feedback,an helpful feedback,many feedbacks
101,We need to buy __________.,A (furniture),Unit 8,Referring to nouns,"""Furniture"" is uncountable, so we cannot use ""a"" or ""an"".","""Furniture"" là không đếm được, nên không dùng ""a"" hoặc ""an"".","""Furniture"" es incontable, así que no podemos usar ""a"" o ""an"".","""Furniture"" 是不可数名词，所以我不能使用 ""a"" 或 ""an""。",a furniture,an furniture,many furnitures
102,__________ children received a gift.,A (Each of the),Unit 8,Referring to nouns,"We say ""each of the"" before a plural noun (like ""candidates"").","Chúng ta dùng ""each of the"" trước một danh từ số nhiều (như ""candidates"").","Decimos ""each of the"" antes de un sustantivo plural (como ""candidates"").","我们在复数名词（如 ""candidates""）前使用 ""each of the""。",Every,All,Some
103,__________ employees was given a bonus.,A (Each of the),Unit 8,Referring to nouns,"We say ""each of the"" before a plural noun (like ""candidates"").","Chúng ta dùng ""each of the"" trước một danh từ số nhiều (như ""candidates"").","Decimos ""each of the"" antes de un sustantivo plural (como ""candidates"").","我们在复数名词（如 ""candidates""）前使用 ""each of the""。",Every,All,Some
104,__________ answers is correct.,A (Each of the),Unit 8,Referring to nouns,"We say ""each of the"" before a plural noun (like ""candidates"").","Chúng ta dùng ""each of the"" trước một danh từ số nhiều (như ""candidates"").","Decimos ""each of the"" antes de un sustantivo plural (como ""candidates"").","我们在复数名词（如 ""candidates""）前使用 ""each of the""。",Every,All,Some
105,He built the house __________.,A (himself),Unit 9,Pronouns and referencing,"We use a reflexive pronoun (like ""myself"") to emphasize who did the action.","Chúng ta dùng đại từ phản thân (như ""myself"") để nhấn mạnh người thực hiện hành động.","Usamos un pronombre reflexivo (como ""myself"") para enfatizar quién hizo la acción.","我们使用反身代词（如 ""myself""）来强调动作的执行者。",him,his,he
106,Did you paint this picture __________?,A (yourself),Unit 9,Pronouns and referencing,"We use a reflexive pronoun (like ""myself"") to emphasize who did the action.","Chúng ta dùng đại từ phản thân (như ""myself"") để nhấn mạnh người thực hiện hành động.","Usamos un pronombre reflexivo (como ""myself"") para enfatizar quién hizo la acción.","我们使用反身代词（如 ""myself""）来强调动作的执行者。",you,your,yours
107,The door opened __________.,A (itself),Unit 9,Pronouns and referencing,"We use a reflexive pronoun (like ""myself"") to emphasize who did the action.","Chúng ta dùng đại từ phản thân (như ""myself"") để nhấn mạnh người thực hiện hành động.","Usamos un pronombre reflexivo (como ""myself"") para enfatizar quién hizo la acción.","我们使用反身代词（如 ""myself""）来强调动作的执行者。",it,its,it's
108,She wore a __________ dress.,A (beautiful red silk),Unit 10,Adjectives and adverbs,Adjective Order: Opinion -> Color -> Material.,Trật tự tính từ: Ý kiến -> Màu sắc -> Chất liệu.,Orden de adjetivos: Opinión -> Color -> Material.,形容词顺序：观点 -> 颜色 -> 材质。,red silk beautiful,silk beautiful red,beautiful silk red
109,It was a __________ day.,A (lovely sunny),Unit 10,Adjectives and adverbs,Adjective Order: Opinion -> Fact.,Trật tự tính từ: Ý kiến -> Thực tế.,Orden de adjetivos: Opinión -> Hecho.,形容词顺序：观点 -> 事实。,sunny lovely,lovely sun,ly sunny
110,He bought a __________ car.,B (fast German),Unit 10,Adjectives and adverbs,Adjective Order: Opinion -> Origin (where it is from).,Trật tự tính từ: Ý kiến -> Nguồn gốc.,Orden de adjetivos: Opinión -> Origen.,形容词顺序：观点 -> 产地。,German fast,Germany fast,fast Germany
111,The movie was very __________.,B (boring),Unit 10,Adjectives and adverbs,"We use adjectives ending in ""-ing"" to describe the thing causing the feeling.","Chúng ta dùng tính từ kết thúc bằng ""-ing"" để mô tả tác nhân gây ra cảm xúc.","Usamos adjetivos terminados en ""-ing"" para describir la cosa que causa el sentimiento.","我们使用以 ""-ing"" 结尾的形容词来描述引起这种感觉的事物。",bored,bore,boredom
112,It was a __________ experience.,B (terrifying),Unit 10,Adjectives and adverbs,"We use adjectives ending in ""-ing"" to describe the thing causing the feeling.","Chúng ta dùng tính từ kết thúc bằng ""-ing"" để mô tả tác nhân gây ra cảm xúc.","Usamos adjetivos terminados en ""-ing"" para describir la cosa que causa el sentimiento.","我们使用以 ""-ing"" 结尾的形容词来描述引起这种感觉的事物。",terrified,terrify,terror
113,The results were __________.,A (disappointing),Unit 10,Adjectives and adverbs,"We use adjectives ending in ""-ing"" to describe the thing causing the feeling.","Chúng ta dùng tính từ kết thúc bằng ""-ing"" để mô tả tác nhân gây ra cảm xúc.","Usamos adjetivos terminados en ""-ing"" para describir la cosa que causa el sentimiento.","我们使用以 ""-ing"" 结尾的形容词来描述引起这种感觉的事物。",disappointed,disappoint,disappointment
114,The food was __________ delicious.,B (absolutely),Unit 10,Adjectives and adverbs,"We use ""absolutely"" (not ""very"") with extreme adjectives.","Chúng ta dùng ""absolutely"" (không dùng ""very"") với các tính từ cực cấp.","Usamos ""absolutely"" (no ""very"") con adjetivos extremos.","我们配合 ""absolutely""（而不是 ""very""）使用极端形容词。",very,too,extremely
115,It was __________ freezing outside.,B (absolutely),Unit 10,Adjectives and adverbs,"We use ""absolutely"" (not ""very"") with extreme adjectives.","Chúng ta dùng ""absolutely"" (không dùng ""very"") với các tính từ cực cấp.","Usamos ""absolutely"" (no ""very"") con adjetivos extremos.","我们配合 ""absolutely""（而不是 ""very""）使用极端形容词。",very,too,extremely
116,The view was __________ spectacular.,B (absolutely),Unit 10,Adjectives and adverbs,"We use ""absolutely"" (not ""very"") with extreme adjectives.","Chúng ta dùng ""absolutely"" (không dùng ""very"") với các tính từ cực cấp.","Usamos ""absolutely"" (no ""very"") con adjetivos extremos.","我们配合 ""absolutely""（而不是 ""very""）使用极端形容词。",very,too,extremely
117,This is __________ building in the city.,B (the tallest),Unit 11,Comparing things,"We always use ""the"" before superlative adjectives (like ""best"", ""tallest"").","Chúng ta luôn dùng ""the"" trước tính từ so sánh nhất (như ""best"", ""tallest"").","Siempre usamos ""the"" antes de adjetivos superlativos (como ""best"", ""tallest"").","我们总是在最高级形容词（如 ""best"", ""tallest""）前使用 ""the""。",tallest,taller,tall
118,She is __________ student in the class.,A (the most intelligent),Unit 11,Comparing things,"We always use ""the"" before superlative adjectives (like ""best"", ""tallest"").","Chúng ta luôn dùng ""the"" trước tính từ so sánh nhất (như ""best"", ""tallest"").","Siempre usamos ""the"" antes de adjetivos superlativos (como ""best"", ""tallest"").","我们总是在最高级形容词（如 ""best"", ""tallest""）前使用 ""the""。",most intelligent,more intelligent,intelligent
119,It was __________ day of my life.,B (the happiest),Unit 11,Comparing things,"We always use ""the"" before superlative adjectives (like ""best"", ""tallest"").","Chúng ta luôn dùng ""the"" trước tính từ so sánh nhất (như ""best"", ""tallest"").","Siempre usamos ""the"" antes de adjetivos superlativos (como ""best"", ""tallest"").","我们总是在最高级形容词（如 ""best"", ""tallest""）前使用 ""the""。",happiest,happier,happy
120,__________ students attended the lecture.,B (Fewer),Unit 11,Comparing things,"We use ""fewer"" for things we can count.","Chúng ta dùng ""fewer"" cho những thứ có thể đếm được.","Usamos ""fewer"" para cosas que podemos contar.","我们将 ""fewer"" 用于可数名词。",Less,Little,Least
121,We have __________ time than yesterday.,B (less),Unit 11,Comparing things,"We use ""less"" for things we cannot count (like ""time"").","Chúng ta dùng ""less"" cho những thứ không đếm được (như ""time"").","Usamos ""less"" para cosas que no podemos contar (como ""time"").","我们将 ""less"" 用于不可数名词（如 ""time""）。",fewer,few,many
122,There are __________ opportunities now.,B (fewer),Unit 11,Comparing things,"We use ""fewer"" for things we can count.","Chúng ta dùng ""fewer"" cho những thứ có thể đếm được.","Usamos ""fewer"" para cosas que podemos contar.","我们将 ""fewer"" 用于可数名词。",less,little,least
123,She is waiting __________ the bus stop.,A (at),Unit 12,The noun phrase,"We use ""at"" for a specific place or point.","Chúng ta dùng ""at"" cho một địa điểm hoặc điểm cụ thể.","Usamos ""at"" para un lugar o punto específico.","我们使用 ""at"" 来表示特定的地点或时刻。",in,on,to
124,There is a spider __________ the ceiling.,B (on),Unit 12,The noun phrase,"We use ""on"" for surfaces (like a wall or ceiling).","Chúng ta dùng ""on"" cho các bề mặt (như tường hoặc trần nhà).","Usamos ""on"" para superficies (como una pared o techo).","我们在表面（如墙壁或天花板）前使用 ""on""。",in,at,to
125,He lives __________ London.,C (in),Unit 12,The noun phrase,"We use ""in"" for cities or enclosed spaces.","Chúng ta dùng ""in"" cho thành phố hoặc không gian kín.","Usamos ""in"" para ciudades o espacios cerrados.","我们在城市或封闭空间前使用 ""in""。",at,on,to
126,The man __________ next to me is sleeping.,A (sitting),Unit 12,The noun phrase,"We use the ""-ing"" form to describe the noun actively doing something.","Chúng ta dùng dạng ""-ing"" để mô tả danh từ đang chủ động làm gì đó.","Usamos la forma ""-ing"" para describir al sustantivo haciendo algo activamente.","我们使用 ""-ing"" 形式来描述主动做某事的名词。",sat,sits,is sitting
127,The email __________ yesterday was important.,B (sent),Unit 12,The noun phrase,"We use the past participle (like ""sent"") to describe a passive action.","Chúng ta dùng quá khứ phân từ (như ""sent"") để mô tả hành động bị động.","Usamos el participio pasado (como ""sent"") para describir una acción pasiva.","我们使用过去分词（如 ""sent""）来描述被动动作。",sending,sends,send
128,Provide a list of students __________ the exam.,A (taking),Unit 12,The noun phrase,"We use the ""-ing"" form to describe the noun actively doing something.","Chúng ta dùng dạng ""-ing"" để mô tả danh từ đang chủ động làm gì đó.","Usamos la forma ""-ing"" para describir al sustantivo haciendo algo activamente.","我们使用 ""-ing"" 形式来描述主动做某事的名词。",taken,took,takes
129,We __________ reach the summit despite the storm.,B (managed to),Unit 13,Modals 1,"We use ""managed to"" for success in a difficult situation.","Chúng ta dùng ""managed to"" cho sự thành công trong tình huống khó khăn.","Usamos ""managed to"" para el éxito en una situación difícil.","我们在困难的情况下取得成功时使用 ""managed to""。",could,can,able to
130,I __________ find my keys eventually.,B (managed to),Unit 13,Modals 1,"We use ""managed to"" when someone succeeds in doing something difficult.","Chúng ta dùng ""managed to"" khi ai đó thành công làm việc gì đó khó khăn.","Usamos ""managed to"" cuando alguien logra hacer algo difícil.","当某人成功做成某件困难的事时，我们使用 ""managed to""。",could,can,able to
131,He __________ pass the test on his third attempt.,A (managed to),Unit 13,Modals 1,"We use ""managed to"" when someone succeeds in doing something difficult.","Chúng ta dùng ""managed to"" khi ai đó thành công làm việc gì đó khó khăn.","Usamos ""managed to"" cuando alguien logra hacer algo difícil.","当某人成功做成某件困难的事时，我们使用 ""managed to""。",could,can,able to
132,You are late. You __________ the bus.,B (must have missed),Unit 13,Modals 1,"We use ""must have"" when we are almost sure something happened in the past.","Chúng ta dùng ""must have"" khi gần như chắc chắn điều gì đó đã xảy ra trong quá khứ.","Usamos ""must have"" cuando estamos casi seguros de que algo sucedió en el pasado.","当我们几乎确定某事在过去发生过时，我们使用 ""must have""。",should have missed,might miss,can miss
133,The street is wet. It __________ last night.,B (must have rained),Unit 13,Modals 1,"We use ""must have"" when we are almost sure something happened in the past.","Chúng ta dùng ""must have"" khi gần như chắc chắn điều gì đó đã xảy ra trong quá khứ.","Usamos ""must have"" cuando estamos casi seguros de que algo sucedió en el pasado.","当我们几乎确定某事在过去发生过时，我们使用 ""must have""。",should have rained,might rain,can rain
134,She ignored me. She __________ me.,B (can't have seen),Unit 13,Modals 1,"We use ""can't have"" when we are sure something didn't happen.","Chúng ta dùng ""can't have"" khi chắc chắn điều gì đó đã không xảy ra.","Usamos ""can't have"" cuando estamos seguros de que algo no sucedió.","当我们确定某事没有发生时，我们使用 ""can't have""。",shouldn't see,mustn't see,couldn't see
135,What __________ to apply for the visa?,A (do I need to do),Unit 14,Modals 2,"This is the correct way to ask ""Is it necessary?"".","Đây là cách đúng để hỏi ""Có cần thiết không?"".","Esta es la forma correcta de preguntar ""¿Es necesario?"".",这是询问“有必要吗？”的正确方式。,must I to do,should I do,I need to do
136,How much __________ pay for the ticket?,B (do I have to),Unit 14,Modals 2,"This is the correct way to ask ""Is it necessary?"".","Đây là cách đúng để hỏi ""Có cần thiết không?"".","Esta es la forma correcta de preguntar ""¿Es necesario?"".",这是询问“有必要吗？”的正确方式。,must I,should I,I have to
137,When __________ submit the report?,B (do I need to),Unit 14,Modals 2,"This is the correct way to ask ""Is it necessary?"".","Đây là cách đúng để hỏi ""Có cần thiết không?"".","Esta es la forma correcta de preguntar ""¿Es necesario?"".",这是询问“有必要吗？”的正确方式。,must I,should I,I need to
138,You __________ smoke in the hospital.,B (mustn't),Unit 14,Modals 2,"We use ""must not"" to say something is not allowed.","Chúng ta dùng ""must not"" để nói điều gì đó không được phép.","Usamos ""must not"" para decir que algo no está permitido.","我们使用 ""must not"" 来表示某事是不允许的。",don't have to,needn't,couldn't
139,Members __________ enter this area.,A (mustn't),Unit 14,Modals 2,"We use ""must not"" to say something is not allowed.","Chúng ta dùng ""must not"" để nói điều gì đó không được phép.","Usamos ""must not"" para decir que algo no está permitido.","我们使用 ""must not"" 来表示某事是不允许的。",don't have to,needn't,couldn't
140,We __________ use phones during the exam.,A (mustn't),Unit 14,Modals 2,"We use ""must not"" to say something is not allowed.","Chúng ta dùng ""must not"" để nói điều gì đó không được phép.","Usamos ""must not"" para decir que algo no está permitido.","我们使用 ""must not"" 来表示某事是不允许的。",don't have to,needn't,couldn't
141,The teacher __________ the students to study hard.,C (advised),Unit 15,Reported speech,"After this verb, we use a person + ""to do"".","Sau động từ này, chúng ta dùng một người + ""to do"".","Después de este verbo, usamos una persona + ""to do"".","在这个动词之后，我们接某人 + ""to do""。",suggested,proposed,recommended
142,She __________ him to see a doctor.,A (persuaded),Unit 15,Reported speech,"After this verb, we use a person + ""to do"".","Sau động từ này, chúng ta dùng một người + ""to do"".","Después de este verbo, usamos una persona + ""to do"".","在这个动词之后，我们接某人 + ""to do""。",suggested,proposed,recommended
143,They __________ us to arrive early.,A (told),Unit 15,Reported speech,"After this verb, we use a person + ""to do"".","Sau động từ này, chúng ta dùng một người + ""to do"".","Después de este verbo, usamos una persona + ""to do"".","在这个动词之后，我们接某人 + ""to do""。",said,spoke,say
144,"__________ the weather forecast, it will rain tomorrow.",A (According to),Unit 15,Reported speech,"We use ""according to"" to say where information comes from.","Chúng ta dùng ""according to"" để nói thông tin đến từ đâu.","Usamos ""according to"" para decir de dónde viene la información.","我们使用 ""according to"" 来引出信息的来源。",Regarding,Following,Referring to
145,"__________ the instructions, you must shake the bottle.",A (According to),Unit 15,Reported speech,"We use ""according to"" to say where information comes from.","Chúng ta dùng ""according to"" để nói thông tin đến từ đâu.","Usamos ""according to"" para decir de dónde viene la información.","我们使用 ""according to"" 来引出信息的来源。",Regarding,Following,Referring to
146,"__________ statistics, sales have increased.",A (According to),Unit 15,Reported speech,"We use ""according to"" to say where information comes from.","Chúng ta dùng ""according to"" để nói thông tin đến từ đâu.","Usamos ""according to"" para decir de dónde viene la información.","我们使用 ""according to"" 来引出信息的来源。",Regarding,Following,Referring to
147,He invited __________ the party.,B (me to join),Unit 16,Verb + verb patterns,"After ""invite"", we use a person + ""to do"".","Sau ""invite"", chúng ta dùng một người + ""to do"".","Después de ""invite"", usamos una persona + ""to do"".","在 ""invite"" 之后，我们接某人 + ""to do""。",me joining,that I join,to join
148,She reminded __________ the door.,B (him to lock),Unit 16,Verb + verb patterns,"After ""remind"", we use a person + ""to do"".","Sau ""remind"", chúng ta dùng một người + ""to do"".","Después de ""remind"", usamos una persona + ""to do"".","在 ""remind"" 之后，我们接某人 + ""to do""。",him locking,he lock,to lock
149,We expected __________ better.,A (them to perform),Unit 16,Verb + verb patterns,"After ""expect"", we use a person + ""to do"".","Sau ""expect"", chúng ta dùng một người + ""to do"".","Después de ""expect"", usamos una persona + ""to do"".","在 ""expect"" 之后，我们接某人 + ""to do""。",them performing,that they perform,to perform
150,"If it rains, we __________ the picnic.",B (will cancel),Unit 17,Likelihood based on conditions 1,We use the First Conditional for real possibilities in the future.,Chúng ta dùng câu điều kiện loại 1 cho những khả năng có thực trong tương lai.,Usamos el Primer Condicional para posibilidades reales en el futuro.,我们使用第一条件句来表示将来可能发生的情况。,cancel,canceled,canceling
151,She will be angry if you __________ late.,A (are),Unit 17,Likelihood based on conditions 1,We use the First Conditional for real possibilities in the future.,Chúng ta dùng câu điều kiện loại 1 cho những khả năng có thực trong tương lai.,Usamos el Primer Condicional para posibilidades reales en el futuro.,我们使用第一条件句来表示将来可能发生的情况。,will be,were,had been
152,"If he studies hard, he __________ the exam.",B (will pass),Unit 17,Likelihood based on conditions 1,We use the First Conditional for real possibilities in the future.,Chúng ta dùng câu điều kiện loại 1 cho những khả năng có thực trong tương lai.,Usamos el Primer Condicional para posibilidades reales en el futuro.,我们使用第一条件句来表示将来可能发生的情况。,passes,passed,passing
153,You will fail the test __________ you study.,B (unless),Unit 17,Likelihood based on conditions 1,"""Unless"" means the same as ""if not"".","""Unless"" có nghĩa tương đương với ""if not"" (trừ khi).","""Unless"" significa lo mismo que ""if not"".","""Unless"" 的意思与 ""if not"" 相同。",if,when,provided
154,We cannot enter __________ we have a ticket.,A (unless),Unit 17,Likelihood based on conditions 1,"""Unless"" means the same as ""if not"".","""Unless"" có nghĩa tương đương với ""if not"" (trừ khi).","""Unless"" significa lo mismo que ""if not"".","""Unless"" 的意思与 ""if not"" 相同。",if,when,provided
155,The plant will die __________ you water it.,A (unless),Unit 17,Likelihood based on conditions 1,"""Unless"" means the same as ""if not"".","""Unless"" có nghĩa tương đương với ""if not"" (trừ khi).","""Unless"" significa lo mismo que ""if not"".","""Unless"" 的意思与 ""if not"" 相同。",if,when,provided
156,"If I __________ rich, I would travel the world.",B (were),Unit 18,Likelihood based on conditions 2,We use the Second Conditional for imaginary situations.,Chúng ta dùng câu điều kiện loại 2 cho các tình huống tưởng tượng.,Usamos el Segundo Condicional para situaciones imaginarias.,我们使用第二条件句来表示想象的情况。,am,was,will be
157,I would help you if I __________ the answer.,B (knew),Unit 18,Likelihood based on conditions 2,We use the Second Conditional for imaginary situations.,Chúng ta dùng câu điều kiện loại 2 cho các tình huống tưởng tượng.,Usamos el Segundo Condicional para situaciones imaginarias.,我们使用第二条件句来表示想象的情况。,know,known,had known
158,"If she __________ time, she would join us.",B (had),Unit 18,Likelihood based on conditions 2,We use the Second Conditional for imaginary situations.,Chúng ta dùng câu điều kiện loại 2 cho các tình huống tưởng tượng.,Usamos el Segundo Condicional para situaciones imaginarias.,我们使用第二条件句来表示想象的情况。,has,have,having
159,I wish he __________ talking so loudly.,B (would stop),Unit 18,Likelihood based on conditions 2,"We use ""wish... would"" for annoying habits we want to change.","Chúng ta dùng ""wish... would"" cho những thói quen khó chịu mà ta muốn thay đổi.","Usamos ""wish... would"" para hábitos molestos que queremos cambiar.","我们使用 ""wish... would"" 来表示想要改变的恼人习惯。",stops,will stop,has stopped
160,I wish they __________ make so much noise.,B (wouldn't),Unit 18,Likelihood based on conditions 2,"We use ""wish... wouldn't"" for annoying habits we want to change.","Chúng ta dùng ""wish... wouldn't"" cho những thói quen khó chịu mà ta muốn thay đổi.","Usamos ""wish... wouldn't"" para hábitos molestos que queremos cambiar.","我们使用 ""wish... wouldn't"" 来表示想要改变的恼人习惯。",won't,didn't,don't
161,I wish you __________ interrupt me.,B (wouldn't),Unit 18,Likelihood based on conditions 2,"We use ""wish... wouldn't"" for annoying habits we want to change.","Chúng ta dùng ""wish... wouldn't"" cho những thói quen khó chịu mà ta muốn thay đổi.","Usamos ""wish... wouldn't"" para hábitos molestos que queremos cambiar.","我们使用 ""wish... wouldn't"" 来表示想要改变的恼人习惯。",won't,didn't,don't
162,We are aiming __________ a quick solution.,A (for),Unit 19,Prepositions,"We say ""aim for"" a goal.","Chúng ta nói ""aim for"" một mục tiêu.","Decimos ""aim for"" una meta.","我们用 ""aim for"" 表示设定目标。",to,at,on
163,She apologized __________ her mistake.,A (for),Unit 19,Prepositions,"We say ""apologize for"" a mistake.","Chúng ta nói ""apologize for"" một lỗi lầm.","Decimos ""apologize for"" un error.","我们用 ""apologize for"" 表示为错误道歉。",to,at,on
164,He applied __________ the job.,A (for),Unit 19,Prepositions,"We say ""apply for"" a job.","Chúng ta nói ""apply for"" một công việc.","Decimos ""apply for"" un trabajo.","我们用 ""apply for"" 表示申请工作。",to,at,on
165,I am afraid __________ spiders.,A (of),Unit 19,Prepositions,"We always say ""afraid of"".","Chúng ta luôn nói ""afraid of"".","Siempre decimos ""afraid of"".","我们在 ""afraid"" 后总是接 ""of""。",with,by,at
166,She is capable __________ doing it.,A (of),Unit 19,Prepositions,"We say ""capable of"" doing something.","Chúng ta nói ""capable of"" làm gì đó.","Decimos ""capable of"" hacer algo.","我们用 ""capable of"" 表示有能力做某事。",to,at,with
167,We are proud __________ our achievements.,A (of),Unit 19,Prepositions,"We say ""proud of"" someone or something.","Chúng ta nói ""proud of"" ai đó hoặc cái gì đó.","Decimos ""proud of"" alguien o algo.","我们用 ""proud of"" 表示为某人或某事感到骄傲。",with,by,at
